"Date","Price","Open","High","Low","Change %"
"May 27, 2022","9.9573","9.6841","10.0489","9.6716","2.82%"
"May 26, 2022","9.6841","8.8648","9.7449","8.7909","9.24%"
"May 25, 2022","8.8648","8.5362","8.9638","8.3661","3.85%"
"May 24, 2022","8.5362","8.7008","8.7015","8.4403","-1.89%"
"May 23, 2022","8.7008","8.9993","9.0532","8.6014","-3.32%"
"May 22, 2022","8.9993","8.9993","8.9993","8.9993","0.00%"
"May 20, 2022","8.9993","9.2215","9.2672","8.5695","-2.41%"
"May 19, 2022","9.2215","9.3930","9.3963","9.1258","-1.83%"
"May 18, 2022","9.3930","9.4394","9.4755","9.3411","-0.49%"
"May 17, 2022","9.4394","9.3425","9.5065","9.3425","1.04%"
"May 16, 2022","9.3425","9.5073","9.5174","9.2444","-1.73%"
"May 15, 2022","9.5073","9.5073","9.5073","9.5073","0.00%"
"May 13, 2022","9.5073","9.3267","9.6320","9.2521","1.94%"
"May 12, 2022","9.3267","9.9975","9.9979","9.3126","-6.71%"
"May 11, 2022","9.9975","10.3052","10.4431","9.8970","-2.99%"
"May 10, 2022","10.3052","10.3112","10.3717","10.2970","-0.06%"
"May 09, 2022","10.3112","10.4105","10.4105","10.3109","-0.95%"
"May 08, 2022","10.4105","10.4106","10.4106","10.4105","-0.00%"
"May 06, 2022","10.4106","10.0667","10.5019","9.8928","3.42%"
"May 05, 2022","10.0667","10.0325","10.1618","9.9676","0.34%"
"May 04, 2022","10.0325","10.7378","10.7382","10.0324","-6.57%"
"May 03, 2022","10.7378","10.7377","10.7388","10.7370","0.00%"
"May 02, 2022","10.7377","10.7377","10.7388","10.7375","0.00%"
"May 01, 2022","10.7377","10.7377","10.7377","10.7377","0.00%"
"Apr 29, 2022","10.7377","10.8779","10.9656","10.6621","-1.29%"
"Apr 28, 2022","10.8779","11.0937","11.0937","10.8255","-1.95%"
"Apr 27, 2022","11.0937","11.2127","11.2279","11.0727","-1.06%"
"Apr 26, 2022","11.2127","11.1481","11.2146","11.0447","0.58%"
"Apr 25, 2022","11.1481","11.6054","11.6054","11.1127","-3.94%"
"Apr 24, 2022","11.6054","11.6047","11.6054","11.6047","0.01%"
"Apr 22, 2022","11.6047","11.5940","11.6688","11.1959","0.09%"
"Apr 21, 2022","11.5940","11.9037","11.9223","11.3875","-2.60%"
"Apr 20, 2022","11.9037","12.2804","12.2810","11.6999","-3.07%"
"Apr 19, 2022","12.2804","12.5251","12.5253","12.2039","-1.95%"
"Apr 18, 2022","12.5251","12.5557","12.6080","12.3770","-0.24%"
"Apr 17, 2022","12.5557","12.5557","12.5557","12.5557","0.00%"
"Apr 15, 2022","12.5557","12.6830","12.7020","12.4379","-1.00%"
"Apr 14, 2022","12.6830","12.5416","12.9387","12.4763","1.13%"
"Apr 13, 2022","12.5416","12.5163","12.6060","12.4728","0.20%"
"Apr 12, 2022","12.5163","12.4127","12.6022","12.3691","0.83%"
"Apr 11, 2022","12.4127","11.9529","12.7524","11.9339","3.85%"
"Apr 10, 2022","11.9529","11.9527","11.9529","11.9527","0.00%"
"Apr 08, 2022","11.9527","11.9091","11.9860","11.2220","0.37%"
"Apr 07, 2022","11.9091","12.5324","12.5352","11.7538","-4.97%"
"Apr 06, 2022","12.5324","13.0910","13.1349","12.4529","-4.27%"
"Apr 05, 2022","13.0910","13.2005","13.2013","13.0094","-0.83%"
"Apr 04, 2022","13.2005","13.1933","13.3331","13.0477","0.05%"
"Apr 03, 2022","13.1933","13.1933","13.1933","13.1933","0.00%"
"Apr 01, 2022","13.1933","13.1230","13.2480","13.0851","0.54%"
"Mar 31, 2022","13.1230","13.3198","13.3328","13.1058","-1.48%"
"Mar 30, 2022","13.3198","13.3952","13.4144","13.0691","-0.56%"
"Mar 29, 2022","13.3952","14.0846","14.0990","13.0335","-4.89%"
"Mar 28, 2022","14.0846","15.0796","15.0806","13.9880","-6.60%"
"Mar 27, 2022","15.0796","15.0794","15.0796","15.0794","0.00%"
"Mar 25, 2022","15.0794","15.2329","15.3183","14.6275","-1.01%"
"Mar 24, 2022","15.2329","15.3376","15.3454","15.0056","-0.68%"
"Mar 23, 2022","15.3376","16.2651","16.3912","15.3161","-5.70%"
"Mar 22, 2022","16.2651","16.3625","16.4048","16.2480","-0.60%"
"Mar 21, 2022","16.3625","16.4780","16.6012","16.3622","-0.70%"
"Mar 20, 2022","16.4780","16.4780","16.4780","16.4780","0.00%"
"Mar 18, 2022","16.4780","16.2518","16.5902","16.0541","1.39%"
"Mar 17, 2022","16.2518","17.0017","17.0219","16.2303","-4.41%"
"Mar 16, 2022","17.0017","17.2825","17.3473","16.8986","-1.62%"
"Mar 15, 2022","17.2825","17.9246","17.9257","17.1483","-3.59%"
"Mar 14, 2022","17.9254","18.0215","18.1786","17.2990","-0.53%"
"Mar 13, 2022","18.0215","18.0215","18.0215","18.0215","0.00%"
"Mar 11, 2022","18.0215","18.7444","18.7470","17.8958","-3.86%"
"Mar 10, 2022","18.7444","18.9943","19.1773","18.3512","-1.32%"
"Mar 09, 2022","18.9943","20.5739","20.5866","18.0177","-7.68%"
"Mar 08, 2022","20.5739","22.6237","22.6241","16.6113","-9.06%"
"Mar 07, 2022","22.6237","16.6200","24.8940","16.5995","36.12%"
"Mar 06, 2022","16.6200","16.6200","16.6200","16.6200","0.00%"
"Mar 04, 2022","16.6200","16.7732","18.1966","15.8778","-0.91%"
"Mar 03, 2022","16.7729","16.7724","18.7141","15.7429","0.00%"
"Mar 02, 2022","16.7724","16.0368","17.3530","15.4100","4.59%"
"Mar 01, 2022","16.0368","14.9939","16.0386","14.1743","6.96%"
"Feb 28, 2022","14.9939","13.1362","17.9058","13.1328","14.14%"
"Feb 27, 2022","13.1362","13.1362","13.1362","13.1362","0.00%"
"Feb 25, 2022","13.1362","13.4759","13.5791","12.9460","-2.52%"
"Feb 24, 2022","13.4759","12.8521","13.9272","12.8389","4.85%"
"Feb 23, 2022","12.8521","12.4709","12.8877","12.4212","3.06%"
"Feb 22, 2022","12.4709","12.5893","12.7541","12.4156","-0.94%"
"Feb 21, 2022","12.5893","12.2258","12.6379","12.0292","2.97%"
"Feb 20, 2022","12.2258","12.2258","12.2258","12.2258","0.00%"
"Feb 18, 2022","12.2258","12.0412","12.2497","11.9562","1.53%"
"Feb 17, 2022","12.0412","11.8751","12.0921","11.8744","1.40%"
"Feb 16, 2022","11.8751","11.8859","11.8929","11.8077","-0.09%"
"Feb 15, 2022","11.8859","12.0772","12.0885","11.8426","-1.58%"
"Feb 14, 2022","12.0772","12.1472","12.2718","11.9510","-0.58%"
"Feb 13, 2022","12.1472","12.1472","12.1472","12.1472","0.00%"
"Feb 11, 2022","12.1472","11.8068","12.2048","11.7645","2.88%"
"Feb 10, 2022","11.8068","11.7429","11.8095","11.6855","0.54%"
"Feb 09, 2022","11.7429","11.7813","11.8014","11.7089","-0.33%"
"Feb 08, 2022","11.7813","11.8663","11.8803","11.7802","-0.72%"
"Feb 07, 2022","11.8663","11.9224","12.0097","11.8535","-0.47%"
"Feb 06, 2022","11.9224","11.9224","11.9224","11.9224","0.00%"
"Feb 04, 2022","11.9224","12.0281","12.0281","11.8944","-0.88%"
"Feb 03, 2022","12.0281","11.9552","12.0750","11.9552","0.61%"
"Feb 02, 2022","11.9552","12.0831","12.0861","11.9005","-1.06%"
"Feb 01, 2022","12.0831","12.1646","12.1646","12.0212","-0.67%"
"Jan 31, 2022","12.1646","12.2352","12.2352","12.1479","-0.58%"
"Jan 30, 2022","12.2352","12.2346","12.2352","12.2346","0.00%"
"Jan 28, 2022","12.2346","12.2498","12.3061","12.1710","-0.12%"
"Jan 27, 2022","12.2498","12.5763","12.5765","12.1593","-2.60%"
"Jan 26, 2022","12.5763","12.4282","12.7070","12.4226","1.19%"
