"Date","Price","Open","High","Low","Change %"
"May 27, 2022","71.388","68.960","73.934","67.970","3.53%"
"May 26, 2022","68.956","65.138","69.678","62.749","5.86%"
"May 25, 2022","65.138","62.252","65.193","59.697","4.64%"
"May 24, 2022","62.252","62.576","63.128","59.563","-0.53%"
"May 23, 2022","62.582","66.060","66.207","60.988","-4.43%"
"May 20, 2022","65.485","65.728","67.441","61.256","-0.37%"
"May 19, 2022","65.728","67.286","68.310","64.907","-2.32%"
"May 18, 2022","67.289","68.566","69.359","65.413","-1.87%"
"May 17, 2022","68.569","67.469","69.598","65.985","1.64%"
"May 16, 2022","67.465","69.157","69.454","65.698","-2.56%"
"May 13, 2022","69.240","67.587","69.240","65.216","2.44%"
"May 12, 2022","67.594","70.168","71.218","66.287","-3.67%"
"May 11, 2022","70.168","73.575","73.733","69.512","-4.63%"
"May 10, 2022","73.572","73.816","74.632","71.604","-0.32%"
"May 09, 2022","73.809","73.205","75.509","70.377","1.41%"
"May 06, 2022","72.782","68.326","73.455","68.177","6.52%"
"May 05, 2022","68.326","70.232","70.557","67.024","-2.71%"
"May 04, 2022","70.228","71.840","72.674","67.875","-2.23%"
"May 03, 2022","71.834","74.197","75.367","69.631","-3.19%"
"May 02, 2022","74.197","77.282","77.407","73.513","-4.06%"
"Apr 29, 2022","77.334","76.417","77.561","73.166","1.21%"
"Apr 28, 2022","76.410","77.968","79.072","74.600","-2.01%"
"Apr 27, 2022","77.976","80.488","81.462","76.059","-3.12%"
"Apr 26, 2022","80.488","81.182","82.104","77.224","-0.85%"
"Apr 25, 2022","81.178","83.643","84.685","78.401","-2.80%"
"Apr 22, 2022","83.519","87.629","88.032","81.388","-4.69%"
"Apr 21, 2022","87.629","89.799","91.447","81.880","-2.43%"
"Apr 20, 2022","89.811","87.440","91.802","84.889","2.72%"
"Apr 19, 2022","87.432","87.453","88.377","85.337","-0.02%"
"Apr 18, 2022","87.453","90.031","91.379","85.646","0.19%"
"Apr 15, 2022","87.283","89.417","90.268","86.862","-2.39%"
"Apr 14, 2022","89.417","89.811","91.181","88.241","-0.43%"
"Apr 13, 2022","89.803","92.427","92.556","86.556","-2.84%"
"Apr 12, 2022","92.427","90.823","93.617","86.281","1.77%"
"Apr 11, 2022","90.823","92.660","93.033","86.573","4.04%"
"Apr 08, 2022","87.296","86.106","88.724","82.674","1.38%"
"Apr 07, 2022","86.106","89.500","90.556","84.118","-3.79%"
"Apr 06, 2022","89.500","91.611","92.552","88.396","-2.30%"
"Apr 05, 2022","91.611","91.916","94.464","90.740","-0.34%"
"Apr 04, 2022","91.920","93.063","99.129","91.027","-2.91%"
"Apr 01, 2022","94.677","90.530","98.533","89.647","4.59%"
