,Starting from,Rate
0,04.05.2022,15.00
1,11.04.2022,18.00
2,28.02.2022,21.00
3,14.02.2022,10.50
4,20.12.2021,9.50
5,25.10.2021,8.50
6,13.09.2021,7.75
7,26.07.2021,7.50
8,15.06.2021,6.50
9,26.04.2021,6.00
10,22.03.2021,5.50
11,27.07.2020,5.25
12,22.06.2020,5.50
13,27.04.2020,6.50
14,10.02.2020,7.00
15,16.12.2019,7.25
16,28.10.2019,7.50
17,09.09.2019,8.00
18,29.07.2019,8.25
19,17.06.2019,8.50
20,17.12.2018,8.75
21,17.09.2018,8.50
22,26.03.2018,8.25
23,12.02.2018,8.50
24,18.12.2017,8.75
25,30.10.2017,9.25
26,18.09.2017,9.50
27,19.06.2017,10.00
28,02.05.2017,10.25
29,27.03.2017,10.75
30,19.09.2016,11.00
31,14.06.2016,11.50
32,03.08.2015,12.00
33,16.06.2015,12.50
34,05.05.2015,13.50
35,16.03.2015,15.00
36,02.02.2015,16.00
37,16.12.2014,18.00
38,12.12.2014,11.50
39,05.11.2014,10.50
40,28.07.2014,9.00
41,28.04.2014,8.50
42,03.03.2014,8.00
43,16.09.2013,6.50
44,14.09.2012,8.25
45,26.12.2011,8.00
46,03.05.2011,8.25
47,28.02.2011,8.00
48,01.06.2010,7.75
49,30.04.2010,8.00
50,29.03.2010,8.25
51,24.02.2010,8.50
52,28.12.2009,8.75
53,25.11.2009,9.00
54,30.10.2009,9.50
55,30.09.2009,10.00
56,15.09.2009,10.50
57,10.08.2009,10.75
58,13.07.2009,11.00
59,05.06.2009,11.50
60,14.05.2009,12.00
61,24.04.2009,12.50
62,01.12.2008,13.00
63,12.11.2008,12.00
64,14.07.2008,11.00
65,10.06.2008,10.75
66,29.04.2008,10.50
67,04.02.2008,10.25
68,19.06.2007,10.00
69,29.01.2007,10.50
70,23.10.2006,11.00
71,26.06.2006,11.50
72,26.12.2005,12.00
73,15.06.2004,13.00
74,15.01.2004,14.00
75,21.06.2003,16.00
76,07.08.2002,18.00
77,09.04.2002,20.00
78,04.11.2000,22.00
79,10.07.2000,25.00
80,21.03.2000,30.00
81,07.03.2000,33.00
82,24.01.2000,40.00
83,15.06.1999,50.00
84,03.12.1998,55.00
85,19.11.1998,50.00
86,14.10.1998,45.00
87,30.09.1998,40.00
88,28.09.1998,45.00
89,17.09.1998,50.00
90,01.09.1998,80.00
91,21.08.1998,100.00
92,19.08.1998,120.00
93,18.08.1998,150.00
94,17.08.1998,250.00
95,14.08.1998,150.00
96,13.08.1998,100.00
97,11.08.1998,80.00
98,24.07.1998,60.00
99,22.07.1998,80.00
100,21.07.1998,81.00
101,17.07.1998,80.00
102,15.07.1998,90.00
103,13.07.1998,120.00
104,09.07.1998,98.00
105,08.07.1998,90.00
106,07.07.1998,85.00
107,01.07.1998,80.00
108,29.06.1998,85.00
109,19.06.1998,60.00
110,18.06.1998,78.00
