Year, January, February, March, April, May, June, July, August, September, October, November, December, Total
1991,6.2,4.8,6.3,63.5,3,1.2,0.6,0.5,1.1,3.5,8.9,12.1,160.4
1992,245.3,38,29.9,21.7,11.9,19.1,10.6,8.6,11.5,22.9,26.1,25.2,2508.85
1993,25.8,24.7,20.1,18.7,18.1,19.9,22.39,26,23,19.5,16.39,12.5,839.87
1994,17.9,10.82,7.41,8.49,6.91,6,5.33,4.62,7.96,15,14.61,16.44,215.02
1995,17.77,11.02,8.94,8.47,7.93,6.66,5.38,4.56,4.46,4.72,4.56,3.2,131.33
1996,4.11,2.79,2.8,2.16,1.6,1.17,0.72,-0.21,0.33,1.2,1.88,1.42,21.81
1997,2.34,1.54,1.43,0.96,0.94,1.1,0.93,-0.14,-0.3,0.17,0.61,0.96,11.03
1998,1.51,0.89,0.64,0.38,0.5,0.08,0.17,3.67,38.43,4.54,5.67,11.61,84.44
1999,8.38,4.13,2.79,3.03,2.22,1.91,2.82,1.16,1.48,1.37,1.23,1.26,36.56
2000,2.33,1.04,0.64,0.89,1.75,2.55,1.79,0.98,1.32,2.11,1.52,1.64,20.2
2001,2.76,2.28,1.86,1.79,1.78,1.62,0.45,0.01,0.6,1.09,1.36,1.6,18.58
2002,3.09,1.16,1.08,1.16,1.69,0.53,0.72,0.09,0.4,1.07,1.61,1.54,15.06
2003,2.4,1.63,1.05,1.02,0.8,0.8,0.71,-0.41,0.34,1,0.96,1.1,11.99
2004,1.75,0.99,0.75,0.99,0.74,0.78,0.92,0.42,0.43,1.14,1.11,1.14,11.74
2005,2.62,1.23,1.34,1.12,0.8,0.64,0.46,-0.14,0.25,0.55,0.74,0.82,10.91
2006,2.43,1.66,0.82,0.35,0.48,0.28,0.67,0.19,0.09,0.28,0.63,0.79,9
2007,1.68,1.11,0.59,0.57,0.63,0.95,0.87,0.09,0.79,1.64,1.23,1.13,11.87
2008,2.31,1.2,1.2,1.42,1.35,0.97,0.51,0.36,0.8,0.91,0.83,0.69,13.28
2009,2.37,1.65,1.31,0.69,0.57,0.6,0.63,0,-0.03,0,0.29,0.41,8.8
2010,1.64,0.86,0.63,0.29,0.5,0.39,0.36,0.55,0.84,0.5,0.81,1.08,8.78
2011,2.37,0.78,0.62,0.43,0.48,0.23,-0.01,-0.24,-0.04,0.48,0.42,0.44,6.1
2012,0.5,0.37,0.58,0.31,0.52,0.89,1.23,0.1,0.55,0.46,0.34,0.54,6.58
2013,0.97,0.56,0.34,0.51,0.66,0.42,0.82,0.14,0.21,0.57,0.56,0.51,6.45
2014,0.59,0.7,1.02,0.9,0.9,0.62,0.49,0.24,0.65,0.82,1.28,2.62,11.36
2015,3.85,2.22,1.21,0.46,0.35,0.19,0.8,0.35,0.57,0.74,0.75,0.77,12.91
2016,0.96,0.63,0.46,0.44,0.41,0.36,0.54,0.01,0.17,0.43,0.44,0.4,5.38
2017,0.62,0.22,0.13,0.33,0.37,0.61,0.07,-0.54,-0.15,0.2,0.22,0.42,2.52
2018,0.31,0.21,0.29,0.38,0.38,0.49,0.27,0.01,0.16,0.35,0.5,0.84,4.27
2019,1.01,0.44,0.32,0.29,0.34,0.04,0.2,-0.24,-0.16,0.13,0.28,0.36,3.05
2020,0.4,0.33,0.55,0.83,0.27,0.22,0.35,-0.04,-0.07,0.43,0.71,0.83,4.91
2021,0.67,0.78,0.66,0.58,0.74,0.69,0.31,0.17,0.6,1.11,0.96,0.82,8.39
2022,0.99,1.17,7.61,1.56,0.15,,,,,,,,11.66
